Yatar Bursa Kalesinde, Nazim Hikmet, Poetry, YKY, 12
Sonsuzlugun Sonu, Isaac Asimov, Novel, Ithaki, 5
Kizil Yildiz, Aleksandr Bogdanov, Novel, Yordam, 7
Hasretinden Prangalar Eskittim, Ahmed Arif, Poetry, Metis, 16
Dune, Frank Herbert, Novel, Ithaki, 5
Otostopcunun Galaksi Rehberi, Douglas Adams, Novel, Alfa, 32
Mulksuzler, Ursula Le Guin, Novel, Metis, 10
Yerdeniz Buyucusu, Ursula Le Guin, Novel, Metis, 15
Benerci Kendini Nicin Oldurdu?, Nazim Hikmet, Poetry, YKY, 45
Son Siirleri, Nazim Hikmet, Poetry, YKY, 24
Surgun Gezegeni, Ursula Le Guin, Novel, Ithaki, 27
Zamanin Kisa Tarihi, Stephen Hawking, Science, Alfa, 10
Büyük Sorulara Kisa Yanitlar, Stephen Hawking, Science, Alfa, 56
Kara Delikler, Stephen Hawking, Science, Alfa, 16
Kozmos, Carl Sagan, Science, Altin, 53
Tanri'nin Kapisini Calan Bilim, Carl Sagan, Science, Altin, 64
Soluk Mavi Nokta, Carl Sagan, Science, Altin, 37
Sana Gul Bahcesi Vadetmedim, Joanne Greenberg, Novel, Metis, 120
Demir Okce, Jack London, Novel, Is Bankasi, 44
Yuzyillik Yalnizlik, Gabriel Garcia Marquez, Novel, Can, 47
Kirmizi Pazartesi, Gabriel Garcia Marquez, Novel, Can, 65
Denizler Altinda Yirmi Bin Fersah, Jules Verne, Novel, Is Bankasi, 33
Beyaz Dis, Jack London, Novel, Is Bankasi, 17
Simyaci, Paulo Coelho, Novel, Can, 66
Tuhaflik Melegi, Edgar Allan Poe, Novel, Ren, 66
Gun Dogarken Yurumek, Hande Durna, Novel, Yeni Ulke, 10
Kizil Olumun Maskesi, Edgar Allan Poe, Novel, Ren, 72
Morgue Sokagi Cinayetleri, Edgar Allan Poe, Novel, Ren, 55
Gidiyorum bu, Ah Muhsin Unlu, Poetry, Sel, 6
Filizkiran Firtinasi, Hasan Huseyin, Poetry, Bilgi, 3
Simdilik Her Sey Yolunda, Ursula Le Guin, Poetry, Metis, 14
Yagmur Kacagi, Attila Ilhan, Poetry, Is Bankasi, 4
